,url,Position,Company,Location,Job_Description
10,https://www.glassdoor.co.in/partner/jobListing.htm?pos=113&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_b5f52f43&cb=1585905389880&jobListingId=3523833564,Software Testing walk In Interview,Autosystem, – Bengaluru,"Develops, maintains and upgrades manual or automated test scripts, utilities, simulators, data sets and other programmatic test tools required to execute test plans.
Performs usability testing for total system performance, reliability, scalability and security.
Effectively communicates testing activities and findings in oral and written forms.
Controls and manages own daily test activities.
Provides internal quality assurance.
Supports test lead to identify risks and develops mitigation strategies.
Organizes and maintains the test script library.
Other related duties assigned as needed.

Vacancy:02

Venue:
Autosystem
India.
HR
Dipali
7249537493
7249537542
www.autosystem.co.in
Note : Upload resume website.
00-5.00 Years"
11,https://www.glassdoor.co.in/partner/jobListing.htm?pos=108&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_e851b697&cb=1585905389875&jobListingId=3533319604,Software Testing Internship,Rapha English Connect Private Limited, – Bengaluru,"About the company:
Rapha English is a game-based online platform where you can practice and improve your English pronunciation and communication skills. The course is designed in a story format, which makes learning fun and easy to relate to. Our vision is to be everyone's affordable personal online English learning platform, offering instruction of international quality and technologically superior game-based lessons to help everyone learn effective English.

About the internship/job:
Selected intern's day-to-day responsibilities include: 1.Working closely with the product team, writing test cases for new features and user flows. 2.Identifying and recording bugs, verifying fixes 3.Work in an agile environment, rapidly delivering shippable features into production.

Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 18th Mar'20 and 17th Apr'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply

Number of internships/jobs available: 2

Categories: Software Testing,Computer Science,Engineering"
12,https://www.glassdoor.co.in/partner/jobListing.htm?pos=115&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_01ca748e&cb=1585905389881&jobListingId=3496546519,Project Leader – Software Testing,Superior Group, – Bengaluru,"Position: Project Leader – Software Testing
Job Location:Bangalore
Job Description: Candidates having 4-6 years of experience in system testing using Pytest and Selenium from aerospace/automotive domain, following SCRUM practices.

Key Responsibilities:
Understanding project requirements and write test cases.
Author, Review and Analyze test scenarios.
Execution of Test Cases / Procedures and Approval of results.
Testing in simulators and perform root cause analysis for defects independently.
Understanding criticality of defects.
Work in a well-defined SCRUM or Kanban team environment.
Automate tests in any object-oriented language.
Extensively worked on automation testing using Pytest, selenium and any other automation tools.
Work on different machines/projects.
Follow software testing processes, project documentation.

Candidate must have:
B.Tech/MCA/B.E. – Electronics and communication /Computer Science engineering.
4-6 years’ experience in Verification/Validation in Windows Platform Application knowledge of test processes through software development life cycles.
Experience in conducting Regression, Functional, UI, Performance and Integration testing
Experience in working in at least one test automation framework
Good knowledge of C++, C# and SQL queries a plus
Good experience working on simulators.
Interest and curious about different machines.
Experience in Test Automation using any of Python & Selenium scripting languages.
Knowledge on software testing life cycle
Capable of carrying out verification activities with little supervision.
Experience in managing the team & client-facing role.

Job Requirements:
Good to have:
Hands on experience with Linux.
Web application experience using technologies like Java, Selenium.
Experience in Agile/SCRUM processes and philosophies.
ISTQB certification.
To be successful in this position, applicant must be fluent in English language, possess effective communication, be confident with technology, and like to take on the challenges. Candidate should have good analytical and problem solving skills. Candidates must also be prepared to travel to Sweden/USA as and when required.
In addition, candidate will be team player with a strong commitment to the job and must have a strong desire to deliver best practice solutions for our customers business.

Required Education: BE / B.Tech

Work Shift: N/A

Positions Requested: 1

Contact:
Milind S

Milinds@superiorgroup.in"
13,https://www.glassdoor.co.in/partner/jobListing.htm?pos=109&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_08133ae0&cb=1585905389876&jobListingId=3533372937,QA Engineer/ Software testing,MyAnatomy, – Bengaluru,"Job Code: #MA – 0105

Job Title: QA Engineer/ Software testing
Job Code: #MA – 0105
Mode of employment: Full Time
Experience: 1 – 3 years

Job Purpose:
An QA Engineer, will estimate, plan, and coordinate testing activities. They will also ensure that quality issues and defects are appropriately identified, documented, tracked, and resolved in our defect tracking system. Additionally, they will also understand the product in more detail and arrive at more creative use cases and corner cases.

Job Responsibilities:
Be part of the product creation process to provide critical feedback
Create detailed, comprehensive and well-structured test plans and test cases
Estimate, prioritise, plan, and coordinate testing activities
Design, develop and execute automation scripts using open source tools
Identify, record, document thoroughly and track bugs
Perform thorough regression testing when bugs are resolved by the development team. You must work closely with product & dev team and be a part of the entire software development process.
Taking end to end responsibilities of STLC (Software Test Life Cycle)
Maintaining timelines and guidelines of Project
Must be flexible, prompt and self-motivated.
Perform detailed analysis of the products and modules to determine coverage required
Basic knowledge about XML, REST, SOAP Proactively and effectively communicate at all levels, internally and externally.
Collaborate with the Product Development team to ensure consistent project execution. Determine the Root Cause of defects.

Role Requirement:
Experience of 1 to 3 Years in testing
Good communication skills and lots of positive attitudes
Exude much energy in the workplace and contribute positively to our culture
Good knowledge of software
QA methodologies, tools, and processes Experience in writing clear, concise and comprehensive test plans and test cases
Hands-on experience with both white box and black box testing Hands-on experience with automated testing tools.
Good knowledge of SQL and scripting.
Experience with performance and/or security testing is a plus.
Sense of ownership and pride in your performance and its impact on company’s success
Ready to learn new technologies.
Basic knowledge of fundamentals in any programming language."
14,https://www.glassdoor.co.in/partner/jobListing.htm?pos=122&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_783b5ca3&cb=1585905389888&jobListingId=3523836475,Scrum Master Agile Methodology Project Management Kanban Software Testing,Keyquest Technologies Private Limited, – Bengaluru,"Scrum Master Responsibilities:
Â
â€¢Using agile methodology values, principles, and practices to plan, manage, and deliver solutions.
â€¢Training, mentoring and supporting scrum teams to follow agile values, principles, and practices.
â€¢Determining and managing tasks, issues, risks, and action items.
â€¢Scheduling and facilitating scrum events, meetings, and decision-making processes.
â€¢Monitoring progress and performance and helping teams to make improvements.
â€¢Planning and organizing demos and product/system testing.
â€¢Ensuring the proper use of collaborative processes and removing impediments for the scrum team.
â€¢Tracking project processes, deliverables, and financials.
â€¢Preparing and presenting status reports to stakeholders.Â

Scrum Master Requirements:Â

â€¢Bachelor/Master Degree in Engineering, Computer Science, Technology or equivalent.
â€¢Certified Scrum Master, SAFe preferred.
â€¢6+ years of experience as a Scrum Master or in a similar role.
â€¢Working knowledge of agile methodology, techniques, and frameworks, such as Scrum or Kanban, to deliver solutions.
â€¢Leadership and management experience
â€¢Working under pressure and adhering to timelines & deadlines
â€¢Can work in different timezones as and when the need arises
â€¢Excellent people and project management skills.
â€¢Strong communication and presentation skills.
â€¢Strong analytical and problem-solving skills
00-6.00 Years
Masters in Technology (M.Tech/M.E/M.Sc), Bachelor Of Computer Application (B.C.A), Master in Computer Application (M.C.A), Bachelor Of Technology (B.Tech/B.E)"
15,https://www.glassdoor.co.in/partner/jobListing.htm?pos=119&ao=389273&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_eedefeb3&cb=1585905389885&jobListingId=3522360674,Team Lead- (Software Testing)- Manunal,Techkshetra Info Solutions, – Bengaluru,"1.Preparation of test cases & rrequirement ttraceability matrix

2.Design & execute regression test pack using front-end & back-end test scripts

3.Experience of system integration, release management, Aautomation testing in web & Android applications.

4.Research on technology & domain to meet the client’s requirements.

5.Understanding of the entire Quality Assurance process, including defect life cycle, test case, and test plan documentation

6. Develop, document Test Scenarios and Cases based on functional profiles.

7. Work closely on the deadlines of the project

8. High energy, well-organized, team player and lead of a team

Requirements

Should be a team lead in the current or previous company

1.Strong experience in functional testing & automation testing including automation framework.

2.Strong experience in web application, API & database testing

3. Experience in designing of functionall, integration and end to end test cases.

4.Strong in writing SQL queries for Database testing.

Job Type: Full-time

Salary: ₹25,000.00 to ₹42,000.00 /year

Experience:
work: 3 years (Required)
total work: 4 years (Required)
Education:
Bachelor's (Required)"
16,https://www.glassdoor.co.in/partner/jobListing.htm?pos=110&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_c94edbf2&cb=1585905389877&jobListingId=3200692353,Software Testing - Team Lead,MatrikaSoftware, – Bengaluru,"Job Reference ID : BIST3334
Experience : 3 - 5 Years
Education : Any Graduate, BE/BTech, MCA
Industry Type : IT-Software/ Software Services
Positions : 1
Location : Bangalore, India

Job Description:
We are looking for highly motivated software testing and QA Team leader for our software development center in Noida. He/She will be responsible for implementing and maintaining manual and automated quality assurance testing methodologies and systems to ensure the accuracy and stability of software applications.

Desired Candidate Profile
Should have exposed to Managing, Planning/ Scheduling projects
Should have handled a team of 5-10 Test Engineers
Should be good in writing Test Plan, Test Cases, UAT
Should be good in Defect management system
Working with automated tools like WinRunner, Load Runner, Rational Robo, will be a plus. • Good in documentation and Bug Reporting
Good English communication skills, Presentation skills
Should have handled Onsite/Offshore communication"
17,https://www.glassdoor.co.in/partner/jobListing.htm?pos=104&ao=389273&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_d375146b&cb=1585905389871&jobListingId=3471639935,Software Testing Engineer,Rapha English Solutions LLP, – Bengaluru,"Job Summary

1)Working closely with the product team, writing test cases for new features and user flows.
2)Identifying and recording bugs, verifying fixes
3)Work in an agile environment, rapidly delivering shippable features into production.
Qualifications and Skills
BE/B-Tech

Job Type: Full-time

Salary: ₹15,000.00 to ₹25,000.00 /month

Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
18,https://www.glassdoor.co.in/partner/jobListing.htm?pos=112&ao=389273&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_2c89db81&cb=1585905389879&jobListingId=3510641937,"Senior Software Testing Engineer, Software Testing Engineers",Margainfra.com, – Bengaluru,"Job Summary
Job Summary
We have urgent requirement for the Senior Software Testing Engineer, Software Testing Engineers .
*
*Vacancies : * 3
*Location : Bangalore
*Joining : Immediately
*Job Type : Full- time
*Salary : 18000-40000
*Required Experience : 0+
*Required languages : English
*Required Education : BCA/BE/BTECH
*Skill : * Good Communication
*Responsibilities and Duties*
Manual Testing

*Benefits*
PF & Bonus
Contact -9900884863*

Job Type: Full-time

Salary: ₹18,000.00 to ₹40,000.00 /month

Education:
Bachelor's (Preferred)"
19,https://www.glassdoor.co.in/partner/jobListing.htm?pos=103&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_7bda4f8b&cb=1585905389870&jobListingId=3200692306,Software Testing Engineer,MatrikaSoftware, – Bengaluru,"Job Reference ID : MIK11175
Experience : 1 - 3 Years
Education : Any Graduate, BE/BTech, MCA
Industry Type : IT-Software/ Software Services
Positions : 3
Location : Bangalore, India

Job Description:
We are looking for candidates who are Independent self starter and committed to delivering on aggressive deadlines. He/She should have hands on experience on functional testing of web based applications. Test specifications from requirement/functional/design spec; perform testing (black & white Box), Exp functional testing of components and application, as part of system testing, integration testing and regression testing, Run test scripts.

Desired Candidate Profile:
Regression/Functional Tests
Coordinate with development/user teams for approval
Knowledge of Automation Frameworks
Must have an in depth understanding of .NET or J2EE technologies
Should know application server technologies, and web based standards
Experience with the Microsoft solution framework, Agile and industry standard processes
Must have ability to understand customer’s perspective
Strong commitment to product excellence
Experience in testing web based applications, DB concepts is required
Must be able to work with business teams to understand the requirements & come up with test plan & strategy
Good communication & inter personal skill is a must"
20,https://www.glassdoor.co.in/partner/jobListing.htm?pos=114&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_78aa7d46&cb=1585905389881&jobListingId=3543447175,Software Testing Internship,ATOM8, – Bengaluru,"No. of opening 2
Functional Area Other
Industry Type Other
Duration 5 Month(s)

Responsibilities include:
Working on the mobile app on React Native
Working on bringing up unit test coverage to 100%, end to end integration testing of new software and hardware devices
Building a dedicated automation testing lab in Bangalore
We are looking for software engineers who love engineering primarily and who have high ownership and would love to work on cutting edge new technologies.

Desired Candidate Profile

Profile Description
Skill(s) required: Software Testing

Under Graduate Qualification B.Sc (Any Specialization) BCA / BCM (Any Specialization) BE / B.Tech (Any Specialization)
Note:Candidate should have a UG qualification"
21,https://www.glassdoor.co.in/partner/jobListing.htm?pos=121&ao=14295&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&ea=1&cs=1_42d09994&cb=1585905389887&jobListingId=3488316058,Engineer - Mobile Applications Software Testing (Bangalore Office),Open Systems International, – Bengaluru,"Open Systems International, Inc. (OSI) www.osii.com is a fast-paced, growing, high technology company, headquartered in Medina, Minnesota. As a world leader in the Operations Technology (OT) field, OSI develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide. OSI is headquartered in Medina, Minnesota, USA with a remote office in ITPB, Whitefield, Bangalore, Karnataka, India.

We currently have openings for Software Test Engineers on our Mobile Applications team in our office in ITPB, Whitefield, Bangalore. In this position you will be part of a high performing technology team focusing on manual and automated software produced by our Development group. All of this is done using the latest technologies in a fast-paced, collaborative environment. Specific, on-the-job training will be provided.

As the Software Test Engineer - Mobile Applications, your responsibilities will include:
Work with scrum team(s) to ensure high quality products and superior customer satisfaction.
Use manual and automated test procedures to identify high-impact problems.
Assist in the creation and execution of resolution plans.
Author, execute and maintain test charters, test cases, procedures and plans, automated test scripts and code.
Design, develop, implement and improve various test methodologies, plans and automation.
Review defect descriptions, requirements, and designs to incorporate into test plans.
Maintain customer test environments to replicate real-world test scenarios.
Requirements

Minimum:
Bachelor's degree in Computer Science, Software Engineering or equivalent.
2-4 years of software QA experience.
Expertise in manual testing and QA best practices.
Expertise with testing mobile apps using devices and emulators.
Extensive knowledge of industry-leading QA tools and methodologies.
Strong understanding of automated testing best practices.
High level scripting skills (Python, Perl, Shell scripting).
Demonstrated ability in creating and communicating testing status dashboards.
Proficiency with Linux, Windows and UNIX environments.
Proficiency with a source control system (such as CVS, Subversion, Git, etc.).
Excellent written, verbal and interpersonal communication skills; comfortable communicating and working with geographically distributed teams.
Innate desires to automate, monitor and continually improve everything in sight.
Must have at least 2 years of working knowledge in automating Android, iOS and Windows applications using Appium.
Preferred:
Master’s degree in Computer Science, Software Engineering or equivalent.
Quality Assurance Certifications (CSQA, CSQE, etc.).
Experience with Quality Assurance within an Agile methodology.
Experience with automation frameworks (Appium, Selenium, Robot, Apache JMeter).
Experience with evaluating, recommending, and deploying new tools and technologies to continually improve the efficiency and effectiveness of the Quality Assurance process.
Experience with various database technologies (such as MySQL, Cassandra, MongoDB).
Knowledge of cloud based mobile testing tools.
Benefits

OSI offers a comprehensive benefit package to our full-time regular employees. Additional perks include flexible work hours, employee events, casual dress code, and more. Check out our Life at OSI Facebook page to see more.

As an employee of OSI you will have access to cutting edge technologies in a fun, professional, positive and dynamic work environment. We have excellent opportunities for growth and development.

Discover your future. Discover OSI."
